phraseId,category,expectedText,actualTranscript,userRating,exactMatch,wordErrorRate,charErrorRate,missingImportantTerms,suspectedConfusions,transcriptionLatencyMs,durationMs,rmsLevel,peakLevel,clippingDetected,audioFilePath
"whisper_beam_001","WhisperTerms","What does beam do in Whisper?","What does beam do in Whisper?","correct","True","0","0","","","7505.7706","3998.0625","0.026748775552218714","0.221832275390625","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_001_attempt1.wav"
"whisper_beam_002","WhisperTerms","Use beam five with medium dot E N.","Use beam 5 with medium.","retry","False","0.2","0.11538461538461539","medium.en","","7302.132","4998.0625","0.03356312754977939","0.274810791015625","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_002_attempt1.wav"
"whisper_beam_002","WhisperTerms","Use beam five with medium dot E N.","Use beam 5 with medium.en.","correct","True","0","0","","","7563.2169","4998.0625","0.03965326889686898","0.27374267578125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_beam_002_attempt2.wav"
"whisper_vram_003","WhisperTerms","How much VRAM does Whisper medium dot E N use with beam five?","How much VRAM does Whisper, medium.en, use with beam 5?","correct","True","0","0","","","7682.6687","5978.0625","0.03452285332770417","0.2039794921875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_vram_003_attempt1.wav"
"whisper_large_004","WhisperTerms","Is large V three better than medium dot E N?","Is large v3 better than medium.en?","correct","True","0","0","","","7546.9078","4988.0625","0.03639200742257365","0.288177490234375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_large_004_attempt1.wav"
"whisper_cuda_005","WhisperTerms","Run speech to text with CUDA.","Run speech to text with CUDA.","correct","True","0","0","","","7526.1118","3998.0625","0.03707842875159677","0.385772705078125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_cuda_005_attempt1.wav"
"whisper_bean_006","WhisperTerms","Whisper heard beam as bean.","Whisper heard, beam is beamed.","wrong","False","0.4","0.14814814814814814","bean","","7507.5255","3998.0625","0.02848828916266287","0.27294921875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_bean_006_attempt1.wav"
"whisper_medium_007","WhisperTerms","Transcribe this with medium English.","Transcribe this with medium English.","correct","True","0","0","","","7487.152","3998.0625","0.03199193143201006","0.25958251953125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\whisper_medium_007_attempt1.wav"
"merlin_sqlite_001","MerlinVocabulary","Merlin should prefer SQLite for local memory storage.","Merlin should prefer SQLite for local memory storage.","correct","True","0","0","","","7592.1911","4988.0625","0.03195797534910811","0.20135498046875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_sqlite_001_attempt1.wav"
"merlin_sqlite_002","MerlinVocabulary","Please save into long-term memory that Merlin should prefer SQLite.","Please save into long-term memory that Merlin should prefer SQLite.","correct","True","0","0","","","7556.6448","5998.0625","0.02760738754603544","0.193389892578125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_sqlite_002_attempt1.wav"
"merlin_deepinfra_003","MerlinVocabulary","What did we decide about DeepInfra context?","What did we decide about DeepInfra context?","correct","True","0","0","","","7514.6017","4988.0625","0.026455605658653007","0.308929443359375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_deepinfra_003_attempt1.wav"
"merlin_deepinfra_004","MerlinVocabulary","DeepInfra should only receive compact prompts.","DeepInfra should only receive compact prompts.","correct","True","0","0","","","7587.4495","4988.0625","0.032680674116274254","0.332916259765625","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_deepinfra_004_attempt1.wav"
"merlin_memory_005","MerlinVocabulary","The memory compiler should reduce token usage.","The memory compilers should reduce token usage.","minor mistake","False","0.14285714285714285","0.021739130434782608","","","7522.1861","4988.0625","0.027820329071694943","0.226348876953125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_memory_005_attempt1.wav"
"merlin_brain_006","MerlinVocabulary","Use the brain-like memory system.","Use the brain-like memory system.","correct","True","0","0","","","7528.3317","3988.0625","0.03404608930084666","0.231964111328125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_brain_006_attempt1.wav"
"merlin_medium_memory_007","MerlinVocabulary","The current conversation should become medium memory.","The current conversation should become medium memory.","correct","True","0","0","","","7512.5109","4998.0625","0.03455523932124528","0.314208984375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_medium_memory_007_attempt1.wav"
"merlin_decision_008","MerlinVocabulary","Store this as a project decision.","Store this as a project decision.","correct","True","0","0","","","7458.2652","3988.0625","0.02204505796472849","0.213348388671875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\merlin_decision_008_attempt1.wav"
"routing_time_001","ToolsAndRouting","What time is it?","What time is it?","correct","True","0","0","","","7458.2665","2998.0625","0.017046220038108708","0.18975830078125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_time_001_attempt1.wav"
"routing_spotify_002","ToolsAndRouting","What is the current volume of Spotify?","What is the current volume of Sotify?","retry","False","0.14285714285714285","0.02702702702702703","Spotify","","7601.4582","4988.0625","0.03036288741776672","0.228057861328125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_spotify_002_attempt1.wav"
"routing_spotify_002","ToolsAndRouting","What is the current volume of Spotify?","What is the current volume of Spotify?","correct","True","0","0","","","7524.128","4998.0625","0.026293149394412994","0.261474609375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_spotify_002_attempt2.wav"
"routing_ram_003","ToolsAndRouting","How much RAM is free?","How much RAM is free?","correct","True","0","0","","","7672.7496","3988.0625","0.022194838222256395","0.224029541015625","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_ram_003_attempt1.wav"
"routing_discord_004","ToolsAndRouting","Open Discord.","Open Discord.","correct","True","0","0","","","7488.5983","2988.0625","0.02794315165140638","0.30010986328125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_discord_004_attempt1.wav"
"routing_gpu_005","ToolsAndRouting","Check GPU usage.","Check GPU usage.","correct","True","0","0","","","7412.3963","3988.0625","0.027948741824213055","0.264739990234375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_gpu_005_attempt1.wav"
"routing_memory_usage_006","ToolsAndRouting","What is the current memory usage of my PC?","What is the current memory usage of my PC?","correct","True","0","0","","","7515.8806","4998.0625","0.03277653807456568","0.307525634765625","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_memory_usage_006_attempt1.wav"
"routing_memory_size_007","ToolsAndRouting","What is the current size of memory of my PC?","What is the current size of memory of my PC?","correct","True","0","0","","","7547.2249","4998.0625","0.03541000833859522","0.283721923828125","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\routing_memory_size_007_attempt1.wav"
"sentence_sqlite_001","SentenceRegression","Please remember that SQLite is the preferred local database for Merlin.","Please remember that SQLite is a preferred local database for Merlin.","minor mistake","False","0.09090909090909091","0.04225352112676056","","","7404.9962","5988.0625","0.037165523636305764","0.237762451171875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_sqlite_001_attempt1.wav"
"sentence_deepinfra_002","SentenceRegression","DeepInfra should receive compact context instead of full raw conversation history.","DeepInfra should receive compact context instead of full raw conversation history.","correct","True","0","0","","","7588.3961","6988.0625","0.03382512817702995","0.240081787109375","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_deepinfra_002_attempt1.wav"
"sentence_codex_cuda_003","SentenceRegression","Codex CLI should check whether CUDA is available before running Whisper.","Codex CLI should check whether CUDA is available before running Whisper.","correct","True","0","0","","","7613.2654","5998.0625","0.04115717934221024","0.28680419921875","False","C:\Users\jarno\Source\Merlin\Merlin.VoiceTest\Recordings\20260617_230007\sentence_codex_cuda_003_attempt1.wav"
